CRA_ID,CT_ID,RoleNm
1000,1,Billing
1002,15950001,Primary
1003,16000001,Primary
1004,16050001,Primary
1005,16100001,Primary
1006,16150001,Primary
1008,16250001,Primary
1009,16300001,Primary
1010,16350001,Primary
1011,16400001,Primary
1013,16500001,Primary
1015,16600001,Primary
1016,16650001,Primary
1018,16750001,Primary
1019,16800001,Primary
1020,16850001,Primary
1022,16950001,Primary
1023,17000001,Primary
1024,17050001,Primary
1026,17150001,Primary
1027,17200001,Primary
1028,17250001,Primary
1030,17350001,Primary
1031,17400001,Primary
1034,17550001,Primary
1035,17600001,Primary
1036,17650001,Primary
1038,17750001,Primary
1040,17850001,Primary
1041,17900001,Primary
1042,17950001,Primary
1043,18000001,Primary
1044,18050001,Primary
1045,18100001,Primary
1046,18150001,Primary
1047,18200001,Primary
1048,18250001,Primary
1049,18300001,Primary
1050,18350001,Primary
1051,18400001,Primary
1052,18450001,Primary
1053,18500001,Primary
1054,18550001,Primary
1055,18600001,Primary
1056,18650001,Primary
1057,18700001,Primary
1058,18750001,Primary
1059,18800001,Primary
1060,18850001,Primary
1061,18900001,Primary
1062,18950001,Primary
1063,19000001,Primary
1064,19050001,Primary
1066,19150001,Primary
1067,19200001,Primary
1068,19250001,Primary
1069,19300001,Primary
1070,19350001,Primary
1071,19400001,Primary
1072,19450001,Primary
1074,19550001,Primary
1075,19600001,Primary
1076,19650001,Primary
1077,19700001,Primary
1078,19750001,Primary
1079,19800001,Primary
1080,19850001,Primary
1081,19900001,Primary
1082,19950001,Primary
1083,20000001,Primary
1084,20050001,Primary
1085,20100001,Primary
1086,20150001,Primary
1087,20200001,Primary
1088,20250001,Primary
1089,20300001,Primary
1090,20350001,Primary
1091,20400001,Primary
1092,20450001,Primary
1093,20500001,Primary
1094,20550001,Primary
1095,20600001,Primary
1096,20650001,Primary
1097,20700001,Primary
1098,20750001,Primary
1099,20800001,Primary
1100,20850001,Primary
1101,20900001,Primary
1103,21000001,Primary
1104,21050001,Primary
1106,21150001,Primary
1107,21200001,Primary
1108,21250001,Primary
1109,21300001,Primary
1111,21400001,Primary
1112,21450001,Primary
1113,21500001,Primary
1114,21550001,Primary
1115,21600001,Primary
1116,21650001,Primary
1117,21700001,Primary
1118,21750001,Primary
1119,21800001,Primary
1120,21850001,Primary
1121,21900001,Primary
1122,21950001,Primary
1123,22000001,Primary
1124,22050001,Primary
1125,22100001,Primary
1126,22150001,Primary
1127,22200001,Primary
1128,22250001,Primary
1129,22300001,Primary
1130,22350001,Primary
1131,22400001,Primary
1132,22450001,Primary
1133,22500001,Primary
1134,22550001,Primary
1135,22600001,Primary
1136,22650001,Primary
1137,22700001,Primary
1138,22750001,Primary
1139,22800001,Primary
1140,22850001,Primary
1141,22900001,Primary
1142,22950001,Primary
1145,23100001,Primary
1146,23150001,Primary
1147,23200001,Primary
1148,23250001,Primary
1149,23300001,Primary
1150,23350001,Primary
1151,23400001,Primary
1152,23450001,Primary
1153,23500001,Primary
1154,23550001,Primary
1155,23600001,Primary
1156,23650001,Primary
1157,23700001,Primary
1158,23750001,Primary
1159,23800001,Primary
1160,23850001,Primary
1161,23900001,Primary
1162,23950001,Primary
1163,24000001,Primary
1164,24050001,Primary
1165,24100001,Primary
1166,24150001,Primary
1167,24200001,Primary
1168,24250001,Primary
1170,24350001,Primary
1171,24400001,Primary
1172,24450001,Primary
1173,24500001,Primary
1175,24600001,Primary
1176,24650001,Primary
1177,24700001,Primary
1179,24800001,Primary
1180,24850001,Primary
1181,24900001,Primary
1182,24950001,Primary
1184,25050001,Primary
1185,25100001,Primary
1186,25150001,Primary
1188,25250001,Primary
1189,25300001,Primary
1191,25400001,Primary
1192,25450001,Primary
1193,25500001,Primary
1194,25550001,Primary
1195,25600001,Primary
1196,25650001,Primary
1197,25700001,Primary
1198,25750001,Primary
1199,25800001,Primary
1200,25850001,Primary
1201,25900001,Primary
1202,25950001,Primary
1203,26000001,Primary
1204,26050001,Primary
1205,26100001,Primary
1207,26200001,Primary
1208,26250001,Primary
1209,26300001,Primary
1210,26350001,Primary
1211,26400001,Primary
1212,26450001,Primary
1213,26500001,Primary
1214,26550001,Primary
1215,26600001,Primary
1216,26650001,Primary
1217,26700001,Primary
1218,26750001,Primary
1219,26800001,Primary
1220,26850001,Primary
1221,26900001,Primary
1222,26950001,Primary
1223,27000001,Primary
1224,27050001,Primary
1225,27100001,Primary
1226,27150001,Primary
1227,27200001,Primary
1228,27250001,Primary
1229,27300001,Primary
1230,27350001,Primary
1231,27400001,Primary
1232,27450001,Primary
1233,27500001,Primary
