CpID,CompanyNm,Role,ActiveStatus,MasterAccountID,OurCustNo,Terms,TermsCode,APEMail,PaymentDays,CurrCode,OnHold,CreditLimit,CustSvcRep,IndustryNm,WebSite,CpLastEdit
1004,[STAGING],D,A,NULL,NULL,(None),Net 30,NULL,NULL,USD,NULL,-1,NULL,NULL,NULL,
1024,MIlK RUNS,D,A,NULL,,(None),,,0,USD, ,-1,NULL,,,
1056,JEI WAREHOUSE,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1093,RECYCLEFORCE WAREHOUSE,D,A,NULL,,(None),Net 30,,NULL,USD, ,-1,NULL,,,
1101,ADVANCED DRAINAGE SYSTEMS,C,A,NULL,,Net 30,,Sourabh.Ratnaparkhi@ads-pipe.com,0,USD, ,-1,NULL,,,
1104,BRYAN PLASTICS PROCESSING LLC,A,A,NULL,,Net 30,Net 30,office@bryanplastics.com; cbostelman@bryanplastics.com; mcarroll@bryanplastics.com; ab@scrapmanagement.com,0,USD, ,-1,NULL,,,
1108,EAST JORDAN PLASTICS INC,P,A,NULL,,Net 30,,albraunstein1@yahoo.com; AP@EJPlastics.com; mike@ejplastics.com,0,USD, ,-1,NULL,,,
1109,ENPOL,C,A,NULL,,Net 30,,,0,USD, ,-1,NULL,,,
1111,GENERAL MILL SUPPLY CO INC,A,A,NULL,,Net 30,Net 30,janet@genmill.com,0,USD, ,-1,NULL,,,
1114,KW PLASTICS,P,A,NULL,,Net 30,,ajordan@kwplastics.com,0,USD, ,100000,NULL,,,
1115,NEED CO,P,A,NULL,,Net 30,,,0,USD, ,-1,NULL,,,
1120,RECYCLING MANAGEMENT RESOURCES,A,A,NULL,,Net 30,,,0,USD, ,-1,NULL,,,
1122,RIVER CITY POLYMERS LLC,C,A,NULL,,Net 30,,,0,USD, ,-1,NULL,,,
1123,SIWIN CORPORATION,A,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1124,SOMERSET RECYCLING SERVICES LLC,P,A,NULL,,Net 30,,,0,USD, ,-1,NULL,,,
1125,SUMMERTIME FARMS INC,C,A,NULL,,COD,,,0,USD, ,-1,NULL,,,
1126,ALA RECYCLING INDUSTRIES,P,A,NULL,,COD,,kim@alarecycling.com,0,USD, ,-1,NULL,,,
