LedgerID,TradeDt,BuySellNo,Source,Sale,Cost,GrossProfit,Commission,AdjCpID,AdjType,AdjFxAmount,APBatchNo,ARBatchNo,ReferenceID
1001,2019-02-04 00:00:00,51661,B,4537.35,2549.64,1987.71,0,NULL,NULL,NULL,NULL,NULL,NULL
1002,2019-02-06 00:00:00,51656,B,3668.4,2421.6,1246.8,0,NULL,NULL,NULL,NULL,NULL,NULL
1003,2019-02-08 00:00:00,51690,B,17984.4,17128,856.4,299.74,NULL,NULL,NULL,NULL,NULL,NULL
1004,2019-02-08 00:00:00,51682,B,4063.2,1693,2370.2,948.08,NULL,NULL,NULL,NULL,NULL,NULL
1005,2019-02-08 00:00:00,51676,B,10549.5,8087,2462.5,0,NULL,NULL,NULL,NULL,NULL,NULL
1006,2019-02-13 00:00:00,51665,B,4250,4000,250,0,NULL,NULL,NULL,NULL,NULL,NULL
1007,2019-02-13 00:00:00,51662,B,2058.2,1029.1,1029.1,0,NULL,NULL,NULL,NULL,NULL,NULL
1009,2019-02-13 00:00:00,51655,B,492.25,436.5,55.75,0,NULL,NULL,NULL,NULL,NULL,NULL
1010,2019-02-13 00:00:00,51657,B,3529.75,1936,1593.75,0,NULL,NULL,NULL,NULL,NULL,NULL
1011,2019-02-13 00:00:00,51658,B,9948.82,9308,640.82,0,NULL,NULL,NULL,NULL,NULL,NULL
1012,2019-02-13 00:00:00,51659,B,1989.6,1071.6,918,321.3,NULL,NULL,NULL,NULL,NULL,NULL
1013,2019-02-13 00:00:00,51660,B,7316,3292.2,4023.8,1609.52,NULL,NULL,NULL,NULL,NULL,NULL
1014,2019-02-13 00:00:00,51663,B,3535,2850.64,684.36,0,NULL,NULL,NULL,NULL,NULL,NULL
1016,2019-02-14 00:00:00,51672,B,3244.1,1195,2049.1,759.64,NULL,NULL,NULL,NULL,NULL,NULL
1018,2019-02-14 00:00:00,51666,B,7838.22,6275.48,1562.74,625.408,NULL,NULL,NULL,NULL,NULL,NULL
1020,2019-02-14 00:00:00,51674,B,1115,525,590,0,NULL,NULL,NULL,NULL,NULL,NULL
1021,2019-02-14 00:00:00,51679,B,1687.5,1217.18,470.32,188.128,NULL,NULL,NULL,NULL,NULL,NULL
1022,2019-02-14 00:00:00,51688,B,3704.4,2812,892.4,0,NULL,NULL,NULL,NULL,NULL,NULL
1023,2019-02-14 00:00:00,51697,B,1580.7,1243,337.7,0,NULL,NULL,NULL,NULL,NULL,NULL
1024,2019-02-15 00:00:00,51694,B,351.5,281.28,70.22,0,NULL,NULL,NULL,NULL,NULL,NULL
1025,2019-02-18 00:00:00,51681,B,1600.04,1358.86,241.18,96.472,NULL,NULL,NULL,NULL,NULL,NULL
1026,2019-02-19 00:00:00,51694 / 4714,B,168.72,168.72,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1027,2019-02-19 00:00:00,51685,B,1020.6,508.4,512.2,204.88,NULL,NULL,NULL,NULL,NULL,NULL
1029,2019-02-14 00:00:00,51668,B,5184,3888,1296,0,NULL,NULL,NULL,NULL,NULL,NULL
1030,2019-02-22 00:00:00,51692,B,23526.75,18551.25,4975.5,0,NULL,NULL,NULL,NULL,NULL,NULL
1031,2019-02-25 00:00:00,51668,A,-1334.4,0,-1334.4,0,1778,S,-1334.4,0,NULL,NULL
1032,2019-06-06 00:00:00,51668,A,0,-1000.8,1000.8,0,1607,P,-1000.8,103186,NULL,NULL
1033,2019-02-27 00:00:00,51733,B,2148,1309.2,838.8,0,NULL,NULL,NULL,NULL,NULL,NULL
1034,2019-02-27 00:00:00,51732,B,2166,1341.4,824.6,0,NULL,NULL,NULL,NULL,NULL,NULL
1035,2019-02-27 00:00:00,51731,B,2104,1316.6,787.4,0,NULL,NULL,NULL,NULL,NULL,NULL
1036,2019-02-28 00:00:00,51670,B,3101,1108,1993,0,NULL,NULL,NULL,NULL,NULL,NULL
1037,2019-02-28 00:00:00,51696,B,1781,1056.2,724.8,0,NULL,NULL,NULL,NULL,NULL,NULL
1038,2019-02-28 00:00:00,51689,B,3175.4,1987,1188.4,0,NULL,NULL,NULL,NULL,NULL,NULL
1039,2019-05-28 00:00:00,51302,A,0,-536.85,536.85,0,1466,P,-536.85,103151,NULL,NULL
1040,2019-02-28 00:00:00,51302,B,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1041,2019-03-01 00:00:00,51703,B,3295.8,2197.2,1098.6,434.544,NULL,NULL,NULL,NULL,NULL,NULL
1042,2019-03-01 00:00:00,51695,B,2212,1142.4,1069.6,0,NULL,NULL,NULL,NULL,NULL,NULL
1043,2019-02-21 00:00:00,51687-R,B,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
1044,2019-02-14 00:00:00,51687,B,518.4,984.4,-466,0,NULL,NULL,NULL,NULL,NULL,NULL
1045,2019-03-04 00:00:00,51723,B,2679,1667.75,1011.25,404.5,NULL,NULL,NULL,NULL,NULL,NULL
1046,2019-03-05 00:00:00,51687-JCH,B,1526.4,664,862.4,0,NULL,NULL,NULL,NULL,NULL,NULL
1047,2019-03-06 00:00:00,51671,B,4809.7,1717.75,3091.95,0,NULL,NULL,NULL,NULL,NULL,NULL
1048,2019-03-06 00:00:00,51698,B,1345.75,697.96,647.79,0,NULL,NULL,NULL,NULL,NULL,NULL
1049,2019-03-06 00:00:00,51709,B,4270.2,2135.1,2135.1,0,NULL,NULL,NULL,NULL,NULL,NULL
1050,2019-03-06 00:00:00,51718,B,4979.88,1758.08,3221.8,1288.72,NULL,NULL,NULL,NULL,NULL,NULL
1051,2019-03-06 00:00:00,51702,B,2089,1662.5,426.5,170.6,NULL,NULL,NULL,NULL,NULL,NULL
1052,2019-03-06 00:00:00,51734,B,2422.75,1522.5,900.25,360.1,NULL,NULL,NULL,NULL,NULL,NULL
1053,2019-03-07 00:00:00,51722,B,2204.03,1236.74,967.29,386.916,NULL,NULL,NULL,NULL,NULL,NULL
1054,2019-03-07 00:00:00,51738,B,4104.88,2210.32,1894.56,0,NULL,NULL,NULL,NULL,NULL,NULL
1055,2019-03-07 00:00:00,51749,B,1789.05,1251,538.05,0,NULL,NULL,NULL,NULL,NULL,NULL
1056,2019-02-06 00:00:00,51663,A,0,57.6,-57.6,0,1306,P,57.6,102958,NULL,NULL
