ReceiptID,BuySellNo,Amount,FxAmount,CurrencyCd,CheckNo,PaymentDt,EntryDt,DiscountAmt,LedgerID,PostingType,Reference,DepositDate,ARBatchNo
10000,51690,17984.4,17984.4,USD,CK 79370,2019-02-13 00:00:00,2019-02-13 00:00:00,0,NULL,CRE,,NULL,1739
10001,51665,4250,4250,USD,CK 35081,2019-02-27 00:00:00,2019-02-27 00:00:00,0,NULL,CRE,,NULL,1740
10002,51661,4537.35,4537.35,USD,CK 95982,2019-03-01 00:00:00,2019-03-01 00:00:00,0,1041,UAC,,NULL,1742
10003,51689,3175.4,3175.4,USD,CK 95982,2019-03-01 00:00:00,2019-03-01 00:00:00,0,1041,UAC,,NULL,1742
10004,51670,3101,3101,USD,CK 95982,2019-03-01 00:00:00,2019-03-01 00:00:00,0,1041,UAC,,NULL,1742
10005,51682,4063.2,4063.2,USD,CK 72118,2019-03-01 00:00:00,2019-03-01 00:00:00,0,NULL,CRE,,NULL,1743
10006,51662,2058.2,2058.2,USD,CK 72118,2019-03-01 00:00:00,2019-03-01 00:00:00,0,NULL,CRE,,NULL,1743
10007,51656,3668.4,3668.4,USD,CK 24966,2019-03-01 00:00:00,2019-03-01 00:00:00,0,NULL,CRE,,NULL,1744
10008,51655,492.25,492.25,USD,CK 6719,2019-03-01 00:00:00,2019-03-01 00:00:00,0,NULL,CRE,,NULL,1745
10009,51672,3244.1,3244.1,USD,CK 662225,2019-03-06 00:00:00,2019-03-06 00:00:00,0,NULL,CRE,,NULL,1746
10010,51659,1989.6,1989.6,USD,CK 662225,2019-03-06 00:00:00,2019-03-06 00:00:00,0,NULL,CRE,,NULL,1747
10011,51658,9948.82,9948.82,USD,CK 79685,2019-03-06 00:00:00,2019-03-06 00:00:00,0,NULL,CRE,,NULL,1748
10012,51671,4809.7,4809.7,USD,CK 96132,2019-03-14 00:00:00,2019-03-14 00:00:00,0,NULL,CRE,,NULL,1749
10013,51686,3643.2,3643.2,USD,CK 25009,2019-03-14 00:00:00,2019-03-14 00:00:00,0,NULL,CRE,,NULL,1750
10014,51663,3535,3535,USD,CK 72205,2019-03-14 00:00:00,2019-03-14 00:00:00,0,NULL,CRE,,NULL,1751
10015,51657,3529.75,3529.75,USD,CK 662532,2019-03-14 00:00:00,2019-03-14 00:00:00,0,NULL,CRE,,NULL,1752
10016,51679,1687.5,1687.5,USD,CK 662532,2019-03-14 00:00:00,2019-03-14 00:00:00,0,NULL,CRE,,NULL,1752
10017,51681,1591.68,1591.68,USD,CK 662532,2019-03-14 00:00:00,2019-03-14 00:00:00,0,NULL,CRE,,NULL,1752
10018,51685-1,291.6,291.6,USD,CK 14897,2019-03-15 00:00:00,2019-03-15 00:00:00,0,1042,UAC,,NULL,1754
10019,51668,3839.88,3839.88,USD,CK 7986,2019-03-18 00:00:00,2019-03-18 00:00:00,0,NULL,CRE,,NULL,1755
10020,51676,10549.5,10549.5,USD,CK 20352,2019-03-21 00:00:00,2019-03-21 00:00:00,0,NULL,CRE,,NULL,1757
10021,51697,1580.7,1580.7,USD,CK 663090,2019-03-21 00:00:00,2019-03-21 00:00:00,0,NULL,CRE,,NULL,1758
10022,51694,365.56,365.56,USD,CK 6751,2019-03-21 00:00:00,2019-03-21 00:00:00,0,NULL,CRE,,NULL,1759
10023,51666,7839,7839,USD,CK 34750,2019-03-21 00:00:00,2019-03-21 00:00:00,0,NULL,CRE,,NULL,1760
10024,51660,7316,7316,USD,CK 25031,2019-03-21 00:00:00,2019-03-21 00:00:00,0,NULL,CRE,,NULL,1761
