ARBatchNo,PostType,COID,NumOfItems,UserID,PostingDt,RecordDate,CPID,CheckNo,Currency,HcApplyAmt,FxApplyAmt,ExportBatchNo,PostedInAccting,DoNotExport
1739,POSTCASH,0,1,RT,2019-02-13 00:00:00,2019-02-14 00:00:00,1600,CK 79370,USD,17984.4,17984.4,NULL,NULL,NULL
1740,POSTCASH,0,1,RT,2019-02-27 00:00:00,2019-03-01 00:00:00,1126,CK 35081,USD,4250,4250,NULL,NULL,NULL
1741,UACASH,0,1,RT,2019-02-27 00:00:00,2019-03-01 00:00:00,1114,CK 95982,USD,10813.75,10813.75,NULL,NULL,NULL
1742,UACASH,0,3,RT,2019-03-01 00:00:00,2019-03-01 00:00:00,1114,CK 95982,USD,10813.75,10813.75,NULL,NULL,NULL
1743,POSTCASH,0,2,RT,2019-03-01 00:00:00,2019-03-01 00:00:00,1565,CK 72118,USD,6121.4,6121.4,NULL,NULL,NULL
1744,POSTCASH,0,1,RT,2019-03-01 00:00:00,2019-03-01 00:00:00,1578,CK 24966,USD,3668.4,3668.4,NULL,NULL,NULL
1745,POSTCASH,0,1,RT,2019-03-01 00:00:00,2019-03-01 00:00:00,1774,CK 6719 ,USD,492.25,492.25,NULL,NULL,NULL
1746,POSTCASH,0,1,RT,2019-03-06 00:00:00,2019-03-07 00:00:00,1137,CK 662225,USD,3244.1,3244.1,NULL,NULL,NULL
1747,POSTCASH,0,1,RT,2019-03-06 00:00:00,2019-03-07 00:00:00,1137,CK 662225,USD,1989.6,1989.6,NULL,NULL,NULL
1748,POSTCASH,0,1,RT,2019-03-06 00:00:00,2019-03-07 00:00:00,1600,CK 79685,USD,9948.82,9948.82,NULL,NULL,NULL
1749,POSTCASH,0,1,RT,2019-03-14 00:00:00,2019-03-14 00:00:00,1114,CK 96132,USD,4809.7,4809.7,NULL,NULL,NULL
1750,POSTCASH,0,1,RT,2019-03-14 00:00:00,2019-03-14 00:00:00,1578,CK 25009,USD,3643.2,3643.2,NULL,NULL,NULL
1751,POSTCASH,0,1,RT,2019-03-14 00:00:00,2019-03-14 00:00:00,1565,CK 72205,USD,3535,3535,NULL,NULL,NULL
1752,POSTCASH,0,3,RT,2019-03-14 00:00:00,2019-03-14 00:00:00,1137,CK 662532,USD,6808.93,6808.93,NULL,NULL,NULL
1753,UACASH,0,1,RT,2019-03-14 00:00:00,2019-03-15 00:00:00,1786,CK 14897,USD,291.6,291.6,NULL,NULL,NULL
1754,UACASH,0,1,RT,2019-03-15 00:00:00,2019-03-15 00:00:00,1786,CK 14897,USD,291.6,291.6,NULL,NULL,NULL
1755,POSTCASH,0,1,RT,2019-03-18 00:00:00,2019-03-15 00:00:00,1778,CK 7986,USD,3839.88,3839.88,NULL,NULL,NULL
1756,UACASH,0,1,RT,2019-03-18 00:00:00,2019-03-18 00:00:00,1600,CK 79886,USD,7017.6,7017.6,NULL,NULL,NULL
