db_name	login_name	server_name
cieTrade_SM_EXPORT	UCSINC\ibeylin	UCSCIETRADE

schema_name	table_name	approx_row_count
dbo	WksDocument	80114
dbo	Payables	12746
dbo	PayablesBatch	10532
dbo	WKSDetail	10223
dbo	GPLedger	7340
dbo	WksDelivery	7240
dbo	Receipt	6537
dbo	ReceiptBatch	4016
dbo	Contact	3814
dbo	ContactRoleAssignment	2965
dbo	Address	2753
dbo	CounterParty	1395
dbo	Counterparty_Referrer	977
dbo	WksInventory	364
dbo	UACashLedger	148
dbo	PrepayLedger	41
dbo	ContactRole	16
dbo	CounterpartyEquipment	13
dbo	CounterpartyGradeCodes	11
dbo	BankAddresses	10
dbo	Counterparty_ProductsOfInterest	3
dbo	WksBOLInstructionNotes	3
dbo	CommInvoicePackNotes	1
dbo	InvoiceRemit	1
dbo	WksShippingNotes	1
dbo	AccountingCheck	0
dbo	AccountingPayment	0
dbo	Checks	0
dbo	CheckSetup	0
dbo	CommInvoiceNotes	0
dbo	CommInvoiceRemitTo	0
dbo	Counterparty_AvgBaleWt	0
dbo	Counterparty_Certification	0
dbo	Counterparty_Charge	0
dbo	Counterparty_ReqWksFlds	0
dbo	DBAAddress	0
dbo	FactorInvoices	0
dbo	GroupInvoice	0
dbo	InvoiceBatch	0
dbo	MetaWks	0
