TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH
dbo,Address,1,CpID,char,12
dbo,Address,2,Type,char,45
dbo,Address,3,Addr1,varchar,65
dbo,Address,4,Addr2,varchar,100
dbo,Address,5,Addr3,varchar,100
dbo,Address,6,City,varchar,30
dbo,Address,7,Region,varchar,35
dbo,Address,8,PostalCd,varchar,15
dbo,Address,9,Country,varchar,35
dbo,Address,10,InvoiceAddr,char,1
dbo,Address,11,Telephone,varchar,30
dbo,Address,12,Contact,varchar,30
dbo,Address,13,LoadingHours,varchar,50
dbo,Address,14,SpcInstruc,varchar,255
dbo,Address,15,Notes,text,2147483647
dbo,Address,16,WarehouseID,char,12
dbo,Address,17,Fax,varchar,30
dbo,Address,18,RemitToAddress,bit,NULL
dbo,Address,19,Directions,text,2147483647
dbo,Address,20,EDI_ShipToCode,char,16
dbo,Address,21,Email,varchar,150
dbo,Address,22,AvgBaleWtLBS,decimal,NULL
dbo,Address,23,AllocID,int,NULL
dbo,Address,24,SalesTaxCodeID,int,NULL
dbo,Address,25,EDI_ShipFromCode,char,16
dbo,Address,26,PriceRegionID,int,NULL
dbo,Address,27,TaxID,varchar,50
dbo,Address,28,MasterAccountID,varchar,20
dbo,Address,29,ShipVia,varchar,35
dbo,Address,30,ShipTerm,char,50
dbo,Address,31,CRVCertType,char,2
dbo,Address,32,CRVCertNum,varchar,20
dbo,Address,33,AddressID,int,NULL
dbo,Address,34,WarehouseGroup,char,25
dbo,Address,35,FeedUpdate,bit,NULL
dbo,Address,36,InternalFreightCost,money,NULL
dbo,Address,37,AddrLastEdit,timestamp,NULL
dbo,Address,38,BillingEmail,varchar,150
dbo,Address,39,isBillingAddressOnly,int,NULL
dbo,Address,40,BillingAddressType,char,45
dbo,Address,41,County,varchar,25
dbo,Address,42,FuelSurChgSellRate,decimal,NULL
dbo,Address,43,FuelSurChgBuyRate,decimal,NULL
dbo,Address,44,MobilePhone,varchar,30
dbo,Address,45,PricingEmail,varchar,150
dbo,Address,46,AddrUserDefined1,varchar,50
dbo,Address,47,AddrUserDefined2,varchar,50
dbo,Address,48,SharedSavPercent,decimal,NULL
dbo,Address,49,BatchEmailForInvoices,varchar,1000
dbo,Address,50,BatchEmailForPO,varchar,1000
dbo,Address,51,AddrUserDefined3,varchar,50
dbo,Address,52,AddrUserDefined4,varchar,50
dbo,Address,53,AddrUserDefined5,varchar,50
dbo,Address,54,InvoiceNotes,varchar,150
dbo,Address,55,TimeZone,char,2
dbo,Address,56,WeighmasterCertificate,varchar,500
dbo,Contact,1,CT_ID,int,NULL
dbo,Contact,2,FileAs,varchar,200
dbo,Contact,3,ContactNm,varchar,200
dbo,Contact,4,CompanyNm,varchar,200
dbo,Contact,5,CpID,char,12
dbo,Contact,6,Location,char,45
dbo,Contact,7,Email,varchar,300
dbo,Contact,8,PhoneBusiness,varchar,50
dbo,Contact,9,PhoneMobile,varchar,50
dbo,Contact,10,PhoneOther,varchar,50
