PayableID,BuySellNo,ItemID,CpID,Amount,InvoiceNo,InvoiceDt,RcvDt,Posted,CurrencyCd,FxAmount,IsCheck,CheckNo,APBatchNo,Reference_Date
673774,59747,NULL,2646,116.25,59747,00:00.0,00:00.0,1,USD,116.25,NULL,NULL,113738,NULL
673855,59703R      ,18134,2223,-300,784417,00:00.0,00:00.0,1,USD,-300,NULL,NULL,113747,NULL
673496,59703R      ,18108,2223,1575,784417,00:00.0,00:00.0,1,USD,1575,NULL,NULL,113747,NULL
673659,59746,NULL,2646,128.8,59746,00:00.0,00:00.0,1,USD,128.8,NULL,NULL,113731,NULL
673829,59700,18133,1495,1700,63731471-1,00:00.0,00:00.0,1,USD,1700,NULL,NULL,113744,NULL
673489,59778,18107,1550,1125,8754282,00:00.0,00:00.0,1,USD,1125,NULL,NULL,113726,NULL
672869,59714,18050,2090,1200,A-556567,00:00.0,00:00.0,1,USD,1200,NULL,NULL,113737,NULL
672541,59700,18027,1495,850,63731471-1,00:00.0,00:00.0,1,USD,850,NULL,NULL,113744,NULL
673673,59621,NULL,2106,3300.93,14080,00:00.0,00:00.0,1,USD,3300.93,NULL,NULL,113735,NULL
671826,59658,17960,2632,1150,23269242,00:00.0,00:00.0,1,USD,1150,NULL,NULL,113728,NULL
