ReceiptID,BuySellNo,Amount,CheckNo,PaymentDt,EntryDt,DiscountAmt,LedgerID,PostingType,Reference,CurrencyCd,FxAmount,DepositDate,ARBatchNo
16539,54445,0.01,ACH120321      ,9/2/25 0:00,9/2/25 0:00,0,1115,UAC,,USD,0.01,NULL,5684
16530,INV59549    ,262.08,CK 122209      ,9/2/25 0:00,9/2/25 0:00,0,NULL,CRE,,USD,262.08,NULL,5680
16538,INV59646    ,250,70024621427,9/2/25 0:00,9/2/25 0:00,0,NULL,CRE,,USD,250,NULL,5683
16534,58136,264,CK VV130       ,8/29/25 0:00,8/29/25 0:00,0,NULL,CRE,,USD,264,NULL,5682
16535,58977,1092.36,CK VV130       ,8/29/25 0:00,8/29/25 0:00,0,NULL,CRE,,USD,1092.36,NULL,5682
16536,59290,2822.47,CK VV130       ,8/29/25 0:00,8/29/25 0:00,0,NULL,CRE,,USD,2822.47,NULL,5682
16537,59386,1355.04,CK VV130       ,8/29/25 0:00,8/29/25 0:00,0,NULL,CRE,,USD,1355.04,NULL,5682
16528,59440A      ,27808.8,CK 127636      ,8/29/25 0:00,8/29/25 0:00,0,1311,UAC,,USD,27808.8,NULL,5678
16529,59440A      ,1381.2,CK127985       ,8/29/25 0:00,8/29/25 0:00,0,1314,UAC,,USD,1381.2,NULL,5679
16531,59449,908.6,CK VV114       ,8/29/25 0:00,8/29/25 0:00,0,NULL,CRE,,USD,908.6,NULL,5681
