AddressID,CpID,Type,Addr1,Addr2,Addr3,City,Region,PostalCd,Country,Telephone,Fax,Email,MobilePhone,InvoiceAddr,RemitToAddress,isBillingAddressOnly,BillingEmail
400094,(OTHER),INVOICE,,,,,,,,,,,NULL,Y,1,NULL,NULL
400096,{C},(NA),,,,,,,,,,,NULL,Y,1,NULL,NULL
400097,{C},INVOICE,,,,,,,,,,NULL,NULL,Y,0,NULL,NULL
401838,134,INVOICE,DALTON ENTERPRISES,555 S. Rose Street,,Anaheim,CA,92805,US,(714) 321-9965,(714) 635-0138,Justin@certifiedusa.net; ib@scrapmanagement.com,,Y,0,NULL,
402007,303,INVOICE,POWERHOUSE RECYCLING WAREHOUSE,175 Lane Parkway,,Salisbury,NC,28146,US,(704) 322-3093,(704) 269-5633,mk@powerhouserecycling.com; ch@powerhouserecycling.com; eh@powerhouserecycling.com; ib@scrapmanagement.com,,Y,0,NULL,
402015,312,INVOICE,RAFF RECYCLING CORPORATION,PO BOX 1,209 GOSHEN ROAD,CAPE MAY COURT HOUSE,NJ,8210,US,(609) 465-7406,(609) 465-7271,raffs@comcast.net; ib@ucsincny.com,,Y,0,NULL,
402021,321,INVOICE,RECYCLE SOLUTIONS,1054 KANSAS STREET,,MEMPHIS,TN,38106,US,(901) 948-9500,,rdeyoung@recyclesolutions.net; ib@ucsincny.com,,Y,0,NULL,
402163,134,DALTON ENTERPRISES,DALTON ENTERPRISES,919 East South Street,,Anaheim,CA,92805,US,714-321-9965,714-635-0138,Justin@certifiedusa.net,NULL,N,0,0,
402426,1004,INVOICE,PIER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,0,NULL,NULL
402427,(INV),[STAGING],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL
402429,1024,INVOICE,MIlK RUNS,,,,,,,,,NULL,NULL,Y,0,NULL,NULL
402430,(INV),MIlK RUNS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL
402431,(INV),DALTON WAREHOUSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL
402461,(INV),POWERHOUSE WAREHOUSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL
402470,1056,WAREHOUSE,JEI WAREHOUSE,2200 W 43rd St.,,Chicago,IL,60609,,(312) 907-4149,,jeiarcos@aol.com,NULL,Y,0,NULL,
402506,(INV),RAFF RECYCLING WAREHOUSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL
402518,(INV),WPPP WAREHOUSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL
402523,(INV),RECYCLE SOLUTIONS WAREHOUSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL
402526,303,POWERHOUSE WAREHOUSE,POWERHOUSE RECYCLING,1400 Lutheran Synod Dr.,,Salisbury,NC,28144,,704-322-3093,704-269-5633,mk@powerhouserecycling.com; ch@powerhouserecycling.com; eh@powerhouserecycling.com,NULL,N,0,0,
402527,(INV),WESTBURY PAPERSTOCK WAREHOUSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL
402530,1093,WAREHOUSE,RECYCLEFORCE,"1125 Brookside Ave, Suite D12",,Indianapolis,IN,46202,US,(317) 532-1367,,aking@recycleforce.org;wcarabano@ucsincny.com,NULL,Y,0,NULL,NULL
402548,1101,INVOICE,ADVANCED DRAINAGE SYSTEMS,"401 Olive St,",,Findlay,OH,45840,,419-424-8230,,Brandon.Shoemaker@greenlinepolymers.com; rrrandolph@greenlinepolymers.com; ib@ucsincny.com,419-619-5437,Y,0,NULL,
402549,1102,PRIMARY,BLUE RIDGE PLASTICS,11511 Hwy 770 East,,Eden,NC,27289,,(336) 627-7867,,dchristy@itwplastics.com; ib@ucsincny.com,,Y,0,NULL,
402550,1103,PRIMARY,BOOMERANG ENVIRONMENT,2400 rue de Lierre,,Laval,,H7G 4Y4,,(450) 668-9009,,jpchasse@boomerangenv.com; ib@ucsincny.com,,Y,0,NULL,
402551,1104,INVOICE,BRYAN PLASTICS PROCESSING LLC,721 East Edgerton Street,,Bryan,OH,43506,,(419) 630-0481,,cbostelman@bryanplastics.com; mcarroll@bryanplastics.com; ab@scrapmanagement.com; ib@ucsincny.com; ab@scrapmanagement.com,(419) 799-2130,Y,0,NULL,
402552,1105,PRIMARY,CANUSA HERSHMAN RECYCLING -C,Unit 8,9 Business Park Drive,Branford,CT,6405,,(203) 488-0887,,mgatison@ct.chrecycling.com; ib@ucsincny.com,,Y,0,NULL,
402553,1106,PRIMARY,CLEAR PATH RECYCLING,3500 Cedar Creek Rd.,,Fayetteville,NC,28312,,877-387-3738,,Bobbi.Barefoot@clearpathrecycling.com; ib@ucsincny.com,910-433-8317,Y,0,NULL,
402554,1107,PRIMARY,DOCKERY RECYCLING-C,"8839 N Cedar Ave, #42",,Fresno,CA,93720,,(559) 326-4778,,heather@dockeryrecycling.com; ib@ucsincny.com,,Y,0,NULL,
402555,1108,INVOICE,EAST JORDAN PLASTICS INC,PO Box 575,,East Jordan,MI,49727,,(231) 536-2243,,mike@ejplastics.com; ib@ucsincny.com,,Y,0,NULL,
402556,1109,INVOICE,ENPOL,1418 Dresden Dr.,Suite 200,Atlanta,GA,30319,,(770) 441-5033,,jtatum@enpol.com; jesi@enpol.com; ib@ucsincny.com,,Y,0,NULL,
402557,1110,PRIMARY,FAITH GROUP COMPANY,195 Rt. 9 Ste 205,,Manalapan,NJ,7726,,(732) 431-1326,,kristie@faith-group.com; liz@faith-group.com; ib@ucsincny.com,,Y,0,NULL,
402558,1111,INVOICE,GENERAL MILL SUPPLY CO INC,50690 General Mill Drive,,Wixom,MI,48393,,(248) 668-0800,,recycle@genmill.com; jennifer@genmill.com; robert@genmill.com; ab@scrapmanagement.com; ib@ucsincny.com,,Y,0,NULL,
402559,1112,PRIMARY,GRACE PLASTICS,2720 Moraine Way,,Batavia,OH,45103,,(513) 831-2720,,harold@graceplastics.com; ib@ucsincny.com,,Y,0,NULL,
402560,1113,PRIMARY,"GRAHAM PACKAGING COMPANY, INC",2401 Pleasant Valley Road,,York,PA,17402,,(717) 849-8653,,Jennifer.Edelin@grahampackaging.com; ib@ucsincny.com,,Y,0,NULL,
402561,1114,INVOICE,KW PLASTICS,279 Pike County Lake Rd,,Troy,AL,36079,US,(334) 566-1563,(334) 808-3368,dwarren@kwplastics.com; ib@ucsincny.com; abuyanovskiy@ucsincny.com,(334) 482-2009,Y,0,0,
402562,1115,PRIMARY,NEED CO,10612-D PROVIDENCE RD #750,,CHARLOTTE,NC,28277,,(704) 698-5186,,,NULL,Y,0,NULL,
402563,1116,PRIMARY,NEWPORT GROUP,3030 Saturn St,,Brea,CA,92821,,(714) 572-8881,,pcheung@newportchintl.com; esun@newportchintl.com; jrico@newportchintl.com; CCIC@newportchintl.com; ib@ucsincny.com,,Y,0,NULL,
402564,1117,PRIMARY,"NURRC, LLC",5396 N Blackstock Road,,Spartanburg,SC,29303,,(864) 574-0904,,scarreras@urrc.net; ib@ucsincny.com,,Y,0,NULL,
402566,1119,PRIMARY,PRATT INDUSTRIES (C),4435 Victory Boulevard,,Staten Island,NY,10314,,(718) 370-1114,,ib@ucsincny.com,,Y,0,NULL,
402567,1120,PRIMARY,RECYCLING MANAGEMENT RESOURCES,20 Hook Mountain Road,PO Box 701,Pine Brook,NJ,7058,,(973) 808-8255,,mmitchum@recyclingmr.com; ib@ucsincny.com,,Y,0,NULL,
402568,1121,PRIMARY,REILY RECOVERY SYSTEMS,1200 Galilean Trail,,Chapel Hill,NC,27516,,(919) 933-3611,,reilyrecovery@gmail.com; john@reilyrecovery.com; accounting@reilyrecovery.com; ib@ucsincny.com,,Y,0,NULL,
402569,1122,PRIMARY,RIVER CITY POLYMERS LLC,425 Enterprise Ave,,Wauseon,OH,43567,,(419) 335-2355,,jatkinson@rivercitypolymers.com; ib@ucsincny.com,,Y,0,NULL,
402570,1123,PRIMARY,SIWIN CORPORATION,1020 E. 230th Street,,Carson,CA,90745,,(310) 637-6688,,Flora@siwin.com;ccicphoto@siwin.com; ib@ucsincny.com,,Y,0,NULL,
402571,1124,INVOICE,SOMERSET RECYCLING SERVICES LLC,PO Box 1348,,Somerset,KY,42502,,(606) 274-4170,,ron@somerset-recycling.com; ib@ucsincny.com,,Y,0,NULL,
402572,1125,PRIMARY,SUMMERTIME FARMS INC,11 Parr Blvd.,,Richmond,CA,94801,,(510) 237-8012,,Henry@sfirecycle.com; admin@sfirecycle.com; Nancy@sfirecycle.com; ib@ucsincny.com,,Y,0,NULL,
402573,1126,INVOICE,ALA RECYCLING INDUSTRIES,1575 Beacon Street,Suite 3F,Brookline,MA,2446,,(617) 332-3280,,kim@alarecycling.com; Daisy@alarecycling.com; alan@alarecycling.com; alagroup@alarecycling.com; ib@ucsincny.com; abuyanovskiy@ucsincny.com,,Y,0,NULL,
402574,1127,PRIMARY,ENVIRONMENTAL RECYCLING,PO Box 707,,Winfield,IL,60190,,(630) 879-9751,,evrjt@att.net; ib@ucsincny.com; abuyanovskiy@ucsincny.com,,Y,0,NULL,
402575,1128,INVOICE,FRANKLIN PLASTICS,120 South Avenue,,Battle Creek,MI,49014,,(269) 966-8851,,travis@franklin-scrap.com; officeassistant@franklin-scrap.com; Leslie@franklin-scrap.com; ib@ucsincny.com; abuyanovskiy@ucsincny.com,,Y,0,NULL,
402576,1129,PRIMARY,GOLDEN STATE PLASTICS,PO Box 1245,,Turlock,CA,95381,,(209) 667-2500,,gsplastics7@yahoo.com; ib@ucsincny.com,,Y,0,NULL,
402577,1130,REMIT TO,PRIORITY RECYCLING,1499 Sheffield Drive,,Avon,IN,46123,US,(574) 849-8759,,jbyers80@comcast.net; ib@ucsincny.com; abuyanovskiy@ucsincny.com,,Y,0,NULL,
402578,1131,PRIMARY,RDS,PO Box 5569,,Virginia Beach,VA,23471,,(540) 400-6410,,mikefelker@rds-virginia.com; ib@ucsincny.com; aa@scrapmanagement.com,,Y,0,NULL,
402579,1132,INVOICE,RMR CENTRAL CAROLINA LLC,PO Box 69126,,Baltimore,MD,21264,,(919) 792-3999,,mmitchum@recyclingmr.com; khartman@recyclingmr.com; ahorton@recyclingmr.com; ib@ucsincny.com,,Y,0,NULL,
