PayableID,BuySellNo,ItemID,CpID,Amount,FxAmount,CurrencyCd,InvoiceNo,InvoiceDt,RcvDt,Posted,IsCheck,CheckNo,APBatchNo,Reference_Date,GLAcct
500038,51655,10000,1553,705,705,USD,1383855,2019-01-21 00:00:00,2019-02-15 00:00:00,1,NULL,NULL,102905,NULL,50200
500113,51669,10001,1495,1045,1045,USD,36490885-1,2019-07-22 00:00:00,2019-09-04 00:00:00,1,NULL,NULL,103412,NULL,50200
500115,51672,10002,1611,795,795,USD,120205,2019-01-24 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102912,NULL,50200
500121,51659,10003,1181,800,800,USD,139838,2019-01-24 00:00:00,2019-02-15 00:00:00,1,NULL,NULL,102900,NULL,50200
500191,51679,10004,1534,1200,1200,USD,137626,2019-01-28 00:00:00,2019-02-15 00:00:00,1,NULL,NULL,102899,NULL,50200
500198,51657,10005,1495,1350,1350,USD,34633997-1,2019-01-29 00:00:00,2019-02-15 00:00:00,1,NULL,NULL,102898,NULL,50200
500232,51674,10006,1495,525,525,USD,34655035-1,2019-01-25 00:00:00,2019-02-15 00:00:00,1,NULL,NULL,102897,NULL,50200
500250,51666,10007,1611,1050,1050,USD,120573,2019-02-06 00:00:00,2019-03-18 00:00:00,1,NULL,NULL,102970,NULL,50200
500255,51667,10008,1611,1200,1200,USD,120714,2019-02-19 00:00:00,2019-03-15 00:00:00,1,NULL,NULL,102963,NULL,50200
500260,51680,10009,1611,1200,1200,USD,120715,2019-02-27 00:00:00,2019-03-20 00:00:00,1,NULL,NULL,102975,NULL,50200
500321,51687,10010,1553,754,754,USD,1389727,2019-02-04 00:00:00,2019-02-28 00:00:00,1,NULL,NULL,102925,NULL,50200
500323,51688,10011,1553,754,754,USD,4707 / 51688,2019-02-05 00:00:00,2019-02-28 00:00:00,1,NULL,NULL,102929,NULL,50200
500360,51681,10012,1181,1100,1100,USD,140101,2019-02-05 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102916,NULL,50200
500367,51661,NULL,1139,2549.64,2549.64,USD,6633,2019-01-24 00:00:00,2019-02-13 00:00:00,1,NULL,NULL,102895,NULL,50100
500375,51685,10013,1181,800,800,USD,140037,2019-02-07 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102917,NULL,50200
500465,51656,NULL,1232,2421.6,2421.6,USD,280478,2019-01-22 00:00:00,2019-02-13 00:00:00,1,NULL,NULL,102893,NULL,50100
500501,51682,NULL,1671,1693,1693,USD,35859,2019-01-30 00:00:00,2019-01-30 00:00:00,1,NULL,NULL,102892,NULL,50100
500524,51697,10014,1495,775,775,USD,34795124-1,2019-02-12 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102911,NULL,50200
500548,51694,10015,1534,450,450,USD,137877,2019-02-13 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102946,NULL,50200
500621,51665,NULL,1306,4000,4000,USD,4817,2019-01-25 00:00:00,2019-02-13 00:00:00,1,NULL,NULL,102894,NULL,50100
500623,51655,NULL,1775,-268.5,-268.5,USD,51708,2019-01-21 00:00:00,2019-01-21 00:00:00,1,NULL,NULL,102896,NULL,50100
500627,51708,10016,1775,268.5,268.5,USD,AP-OFFSET,2019-01-21 00:00:00,2019-01-21 00:00:00,1,NULL,NULL,102896,NULL,NULL
500683,51679,10017,1785,-216.22,-216.22,USD,4699 / 51679,2019-01-26 00:00:00,2019-01-26 00:00:00,1,NULL,NULL,102927,NULL,50200
500687,51657,NULL,1776,586,586,USD,286,2019-01-26 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102919,NULL,50100
500689,51658,NULL,1429,9308,9308,USD,42868,2019-01-24 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102918,NULL,50100
500698,51663,NULL,1306,2800.64,2800.64,USD,4851,2019-02-06 00:00:00,2019-02-15 00:00:00,1,NULL,NULL,102902,NULL,50100
500700,51686,NULL,1753,2845.85,2845.85,USD,61114,2019-01-30 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102920,NULL,50100
500705,51660,NULL,1199,3292.2,3292.2,USD,164940,2019-01-29 00:00:00,2019-02-15 00:00:00,1,NULL,NULL,102903,NULL,50600
500707,51672,NULL,1782,400,400,USD,143227,2019-01-24 00:00:00,2019-02-15 00:00:00,1,NULL,NULL,102901,NULL,50100
