LedgerID,CustID,EntryDt,OriginalAmount,CheckNo,Balance,Reference,CurrencyCd,FxAmount,FxBalance,GLAcct,COID,Reversed,Reversed_LedgerID,Deposited,DepositNo,DepositDate,DepositUser,FxRate,BankFees,FXBankFees,BankFee_GPLedgerID,FactorID,FactorGLAcct,ARBatchNo,Notes,TradeType
1041,1114,2019-02-27 00:00:00,10813.75,CK 95982,0,,USD,10813.75,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1741,,NULL
1042,1786,2019-03-14 00:00:00,291.6,CK 14897,0,,USD,291.6,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1753,,NULL
1043,1600,2019-03-18 00:00:00,7017.6,CK 79886,0,,USD,7017.6,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1756,,NULL
1046,1114,2019-04-16 00:00:00,14509.47,ck 96437,0,,USD,14509.47,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1783,,NULL
1047,1137,2019-06-06 00:00:00,8009.7,CK 667225,0,,USD,8009.7,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1829,,NULL
1048,1790,2019-06-20 00:00:00,576,ck 14337,57.6,,USD,576,57.6,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1843,,NULL
1049,1662,2019-07-10 00:00:00,1800,DEP 7-10-19,0,,USD,1800,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1861,,NULL
1050,1137,2019-07-16 00:00:00,8591.3,CK 669992,0,,USD,8591.3,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1868,,NULL
1051,1114,2019-07-26 00:00:00,17810.73,CK 97958,0,,USD,17810.73,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1881,,NULL
1052,1696,2019-07-10 00:00:00,7036,ACH 7-10-19,0,,USD,7036,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1914,,NULL
1053,1630,2019-08-23 00:00:00,19966,WIRE8-23-19,0,,USD,19966,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1916,,NULL
1054,1741,2019-09-10 00:00:00,5555.48,ck 16487,0,,USD,5555.48,0,10100,0,1,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1934,,NULL
1055,1741,2019-09-10 00:00:00,-5555.48,ck 16487,0,UNDO 1054,USD,-5555.48,0,10100,0,1,1054,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,1935,NULL,NULL
1056,1549,2019-09-18 00:00:00,2310.36,CK 713722,0,,USD,2310.36,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1951,,NULL
1057,1128,2019-09-26 00:00:00,6160.84,CK 45671,0,,USD,6160.84,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,1958,,
1058,1630,2020-01-13 00:00:00,43901.39,ACH01-13-20,0,,USD,43901.39,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2102,,
1060,1137,2020-01-23 00:00:00,11531.9,CK 6809,0,,USD,11531.9,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2115,,
1061,1630,2020-03-10 00:00:00,46460.18,avj03-10-20,0,,USD,46460.18,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2172,,
1062,1114,2020-04-10 00:00:00,8246.98,ck 101371,0,,USD,8246.98,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2205,,
1068,2044,2020-05-08 00:00:00,52853,ACH05-08-20,0,,USD,52853,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2250,,
1069,1869,2020-06-11 00:00:00,21973.32,ACH06-11-20,11.6,,USD,21973.32,11.6,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2285,,
1074,1137,2020-07-30 00:00:00,4062.54,CK 689358,0,,USD,4062.54,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2344,,
1083,1466,2020-09-11 00:00:00,4748.23,CK 10183,78.4,,USD,4748.23,78.4,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2392,,
1084,2039,2020-09-11 00:00:00,1902.5,wir091120,0,,USD,1902.5,0,10100,0,1,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2396,,
1088,2039,2020-09-24 00:00:00,-1003.75,wir091120,0,UNDO 1084,USD,-1003.75,0,10100,0,1,1084,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,2401,NULL,NULL
1089,2107,2020-10-05 00:00:00,2710,ach100520,0,,USD,2710,0,10100,0,1,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2415,,
1090,2107,2020-10-05 00:00:00,-2710,ach100520,0,UNDO 1089,USD,-2710,0,10100,0,1,1089,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,2416,NULL,NULL
1091,1951,2020-10-14 00:00:00,10930.68,ck 016136,4142.07,,USD,10930.68,4142.07,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2427,,
1092,1951,2020-10-21 00:00:00,10930.68,CK016136,0,,USD,10930.68,0,10100,0,1,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2465,,
1093,1951,2020-11-16 00:00:00,-10930.68,CK016136,0,UNDO 1092,USD,-10930.68,0,10100,0,1,1092,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,2466,NULL,NULL
1094,1455,2020-11-20 00:00:00,3257.67,ACH112020,0,,USD,3257.67,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2469,,
1095,1299,2020-11-20 00:00:00,23910.11,WIR112020,0,,USD,23910.11,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2472,,
1096,1879,2020-11-24 00:00:00,11879,ACH112420,1000,,USD,11879,1000,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2479,,
1097,1104,2020-11-27 00:00:00,6486,ACH112720,0,,USD,6486,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2481,,
1098,1128,2020-11-23 00:00:00,600.08,CK 48497,0,,USD,600.08,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2487,,
1099,2117,2020-11-24 00:00:00,2450,WIR112420,0.8,,USD,2450,0.8,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2505,,
1100,1751,2020-12-15 00:00:00,11000,WIR121520,0,,USD,11000,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2511,,
1102,2074,2021-01-08 00:00:00,8919.48,ACH010821,8919.48,,USD,8919.48,8919.48,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2533,,
1103,1455,2021-01-08 00:00:00,8949.48,ACH010821,11.5,,USD,8949.48,11.5,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2534,,
1104,1137,2021-01-21 00:00:00,6714.95,CK 698628,0,,USD,6714.95,0,10100,0,0,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2551,,
1106,1751,2021-01-25 00:00:00,11000,WIR012521,0,,USD,11000,0,10100,0,1,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,0,            ,2558,,
