DetailID,BuySellNo,GradeID,InvoiceDesc,SWeight,SWeightUOM,SPrice,SPriceUOM,SAmount,PPrice,PUOM,PAmount,PWeight,PWeightUOM,SCurrencyCd,SFxAmount,PCurrencyCd,PFxAmount,Color,DesignatedCpID,SPo,PPo,LotNo,UnitType,Units,Comment,IsReceived,IsItemReceived
1,51654,10008,1-7 Co-Mingled Bottles (Post Consumer),40000,L,0,L,0,0,L,0,40000,L         ,USD,0,USD,0,          ,,11545,3500,                         , ,0,,NULL,NULL
2,51655,936,HDPE Toters - Roll Out Bins (Wheels/Axles Removed),8950,L,0.055,L,492.25,-0.03,L,-268.5,8950,L         ,USD,492.25,USD,-268.5,          ,,11546,4675,                         , ,0,,NULL,NULL
3,51656,10059,LDPE Clear Film,40760,L,0.09,L,3668.4,0.06,L,2421.6,40360,L         ,USD,3668.4,USD,2421.6,          ,,11547,4676,                         , ,0,,NULL,NULL
4,51657,10018,HDPE W/Npm-Conform Attach,13200,L,0.19,L,2508,0.04,L,528,13200,L         ,USD,2508,USD,528,          ,,11548,4677,                         , ,0,,NULL,NULL
5,51657,10032,PP Pallets,2765,L,0.15,L,414.75,0.01,L,58,5800,L         ,USD,414.75,USD,58,          ,,11548,4677,                         , ,0,,NULL,NULL
6,51658,10011,HDPE Bottles - Natural Milk Jugs,18335,L,0.405,L,7425.68,0.39,L,6887.4,17660,L         ,USD,7425.68,USD,6887.4,          ,,11549,4678,                         ,B,22,,NULL,NULL
7,51658,10010,HDPE Bottles - Mixed Color,12308,L,0.205,L,2523.14,0.19,L,2420.6,12740,L         ,USD,2523.14,USD,2420.6,          ,,11549,4678,                         ,B,15,,NULL,NULL
8,51659,908,HDPE Pallets - Mixed,0,L,0,L,0,0.02,L,271.6,13580,L         ,USD,0,USD,271.6,          ,,11550,4679,                         , ,0,,NULL,NULL
9,51660,750,Reusable super sacks in bales,36580,L,0.2,L,7316,0.09,L,3292.2,36580,L         ,USD,7316,USD,3292.2,          ,,11551,4681,                         ,B,36,,NULL,NULL
10,51661,803,PP Tubs and Lids,12937,L,0.15,L,1940.55,0.08,L,1011.6,12645,L         ,USD,1940.55,USD,1011.6,          ,,11552,4682,                         , ,0,,NULL,NULL
11,51661,842,MRP- KW Pack,21640,L,0.12,L,2596.8,0.07,L,1538.04,21972,L         ,USD,2596.8,USD,1538.04,          ,,11552,4682,                         , ,0,,NULL,NULL
