ref,role,user_id,alias,name-check (internal),name,street,street2,city,state_id,zip,country
2165,"Supplier,Expense",Tiffany White,MARCK INDUSTRIES - BROOKLAND,FALSE,MARCK INDUSTRIES OF NORTHEAST ARKANSAS,300 Missouri St.,,Brookland,AR,72417,United States
2163,"Customer,Supplier,Expense",Ricardo Pereira,MARCK INDUSTRIES - ROGERS,FALSE,MARCK INDUSTRIES OF NORTHEAST ARKANSAS,3507 North Arkansas Street,,Rogers,AR,72756,United States
2591,Expense,,A & M RAILROAD,FALSE,A&M RAILROAD,1301 N 4th Street,,Fort Smith,AR,72901,United States
2541,Expense,Arthur Buyanovskiy,JEI FT SMITH 4TH ST WAREHOUSE,FALSE,JEI INC,1515 North 4th Street,,Fort Smith,AR,72901,United States
2640,Expense,Arthur Buyanovskiy,JEI HOPE CAMPUS WAREHOUSE,FALSE,JEI INC,301 S E Street,,Fort Smith,AR,72901,United States
1745,"Supplier,Expense",Igor Beylin,WASTE CONNECTIONS OF AZ - TUCSON DIVISION,FALSE,WASTE CONNECTIONS OF AZ,3755 S. Royal Palm Road,,Apache Junction,AZ,85119,United States
2544,"Supplier,Expense",Igor Beylin,CONSERVATION MANAGEMENT,FALSE,CONSERVATION MANAGEMENT GROUP LLC,80175 Merion,,La Quinta,CA,92253,United States
1313,Supplier,Igor Beylin,AGRI-LINK PLASTICS IINC,FALSE,AGRI-LINK PLASTICS INC,296 E. Wutchumna Ave,,Woodlake,CA,93286,United States
2317,"Supplier,Expense",Lindsey Malyavko,CAGLIA ENVIRONMENTAL LLC,FALSE,CEDAR AVENUE RECYCLING TRANSFER STATION,PO Box 446,,Fresno,CA,93709,United States
1587,"Customer,Expense",,FL PLASTIC LLC,FALSE,FEATHER LAKE PLASTIC LLC,4127 SW 19th Place,,Cape Coral,FL,33914,United States
1683,"Supplier,Expense",Igor Beylin,WASTE PRO - OCALA FL,FALSE,WASTE PRO USA,3621 NW 10th Street,,Ocala,FL,34475,United States
2410,"Supplier,Expense",Igor Beylin,FULL CIRCLE RECYCLING,FALSE,ATLANTA RECYCLING SOLUTIONS,1280 Old Alpharetta Rd,,Alpharetta,GA,30005,United States
2602,"Customer,Supplier,Expense",Igor Beylin,XNM LLC,FALSE,Millenium Pallets,6016 N Main St SE,,Acworth,GA,30101,United States
1619,"Supplier,Expense",Ricardo Pereira,CARAUSTAR RECYCLING,FALSE,CARAUSTAR RFG,5000 Austell Powder Springs Rd,Suite 300,Austell,GA,30106,United States
1779,"Supplier,Expense",Ricardo Pereira,WASTE PRO - ATLANTA GA,FALSE,WASTE PRO USA,4785 Fulton Industrial Blvd SW,Suite F,Atlanta,GA,30336,United States
1608,"Supplier,Expense",Igor Beylin,HALL COUNTY GOVERNMENT,FALSE,HALL COUNTY BOARD OF COMMISSIONERS,PO Box 1435,,Gainesville,GA,30503,United States
2337,"Supplier,Expense",Tiffany White,BIRDSONG PEANUTS - GA,FALSE,BIRDSONG PEANUTS,P.O. Box 650,,Blakely,GA,39823,United States
1861,"Customer,Supplier,Expense",Lindsey Malyavko,METROPOLITAN FIBER,FALSE,METROPOLITAN FIBER / THE PAPER TIGERS,20 N Martingale Rd,Suite 250,Schaumburg,IL,60173,United States
2626,Expense,,EVA RECYCLING WAREHOUSE,FALSE,EVA RECYCLING,9301 S Genoa Ave,,Chicago,IL,60620,United States
