partner_id,Type,is_remit,is_invoice_entity,is_facility,Alias,company_id,address,adderess2,city,state,zip,country,Contact,Phone,Email
29 LOGISTICS LLC,Remit,TRUE,TRUE,FALSE,INVOICE,29 LOGISTICS,PO Box 204,,Union Grove,WI,53182,,Michael Byrne,(262) 234-8680,MByrne@kixinc.com
3 RIVERS LOGISTICS INC,Remit,TRUE,TRUE,FALSE,INVOICE,3 RIVERS LOGISTICS INC,60 Doughboy Road,,Gillett,AR,72055,,Tommy Fenske,870-548-5012,tommy@3riverslogistics.com
360RESINS LLC,Inv/Remit,TRUE,TRUE,FALSE,INVOICE,360RESINS LLC,166 CENTER STREET,,CAPE CANAVERAL,FL,32920,,Jake,,sales@360resins.com; Jake@360resins.com
360RESINS LLC,Location,FALSE,FALSE,TRUE,YOUNGSTOWN OH,360 RESINS LLC,107 N.Hine Street,,Youngstown,OH,44506,,,,
3L Distribution,Inv/Remit,TRUE,TRUE,FALSE,INVOICE,3L Distribution,PO Box 3102,,Annapolis,MD,21403,United States,Kyle Lehner,916-995-5635,klehner@3ldistribution.com
3R RECYCLING INC,Remit,TRUE,TRUE,FALSE,INVOICE,3R RECYCLING INC,13 Robbie Road,,Avon,MA,2322,,Joe Shamatta,508.232.3916,Jshamatta@3rrecyclinginc.com; rpereira@ucsincny.com
48 FORTY SOLUTIONS - AA,Inv/Remit,TRUE,TRUE,FALSE,INVOICE,48 FORTY SOLUTIONS LLC,PO Box 849729,,Dallas,TX,75284-9729,,Jessica Bonsall,(409) 789-8005,jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - AA,Location,FALSE,FALSE,TRUE,"BARTOW, FL - SITE 208",48 FORTY SOLUTIONS - SITE 208,5700 U.S. Hwy 17th South,,Bartow,FL,33830,,Ken Sadenwater,863.533.2285,ken.sadenwater@48forty.com; site208@48forty.com; aa@scrapmanagement.com; jessica.bonsall@48forty.com; joseph.roesener@48forty.com;
48 FORTY SOLUTIONS - AA,Location,FALSE,FALSE,TRUE,"BIGLERVILLE, PA",48 FORTY SOLUTIONS - AA,3177 Biglerville Road,,Biglerville,PA,17307,United States,Martin Torres,717-677-1388,martin.torres@48forty.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - AA,Location,FALSE,FALSE,TRUE,GLENVILLE NY,48 FORTY SOLUTIONS,201 A Street,,Glenville,NY,12302,,Jorge Caraballo,(518) 861- 5410,Jorge.Caraballo@48forty.com; site235@48forty.com; aakopyan@ucsincny.com;
48 FORTY SOLUTIONS - AA,Location,FALSE,FALSE,TRUE,"HOMELAND, FL",48 FORTY SOLUTIONS - AA,PO box 207,,Homeland,FL,33847,United States,,,
48 FORTY SOLUTIONS - AA,Location,FALSE,FALSE,TRUE,"JACKSONVILLE, FL",48 FORTY SOLUTIONS - AA,5402 West 1st Street,,Jacksonville,FL,32254,United States,Wade Watts & Robert Collier,904.783.9627,wade.watts@48forty.com; robert.collier@48forty.com
48 FORTY SOLUTIONS - AA,Location,FALSE,FALSE,TRUE,"KNOXVILLE, TN",48 FORTY SOLUTIONS - SITE 234,2829 Texas Ave,,Knoxville,TN,37921,,Ray & Josh,,josh.dingus@48forty.com; Site234@48forty.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - AA,Location,FALSE,FALSE,TRUE,"NASHVILLE, TN - SITE 431",48 FORTY SOLUTIONS - SITE 431,601 Space Park South,,Nashville,TN,37211,United States,Josh Dingus,(615) 333-8325,josh.dingus@48forty.com; site431@48forty.com; aa@scrapmanagement.com; jessica.bonsall@48forty.com; shelbey.bayless@48forty.com
48 FORTY SOLUTIONS - AA,Location,FALSE,FALSE,TRUE,"RICHMOND, VA - SITE 201",48 FORTY SOLUTIONS - SITE 201,3707 Nine Mile Rd,,Richmond,VA,23223,United States,Brian Davis,804.226.0229,brian.davis@48forty.com; site201@48forty.com; aa@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - AA,Location,FALSE,FALSE,TRUE,"WESTBOROUGH, MA - SITE 270",48 FORTY SOLUTIONS - SITE 270,57 Brigham St,,Westborough,MA,1581,United States,Joshua Morse,(518) 861- 5410,joshua.morse@48forty.com; site270@48forty.com; aa@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - IB,Inv/Remit,TRUE,TRUE,FALSE,INVOICE,48 FORTY SOLUTIONS LLC,PO Box 849729,,Dallas,TX,75284-9729,United States,Site 315,(409) 789-8005,site315@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,ANTIOCH CA,48 FORTY SOLUTIONS,2276 Wilbur Lane,,Antioch,CA,94509,,Jake and Daniel,(216) 333-9991,jake.sisco@48forty.com; daniel.hernandez@48forty.com; ib@scrapmanagement.com; jessica.bonsall@48forty.com;jz.zafar@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"BYRON, GA - SITE 390",48 FORTY SOLUTIONS,4199 Housers Mill Rd,,Byron,GA,31008,,Lyndsey White,470-749-9176,reed.esarove@48forty.com; lynsey.white@48forty.com; brett.moore@48forty.com; ib@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"CHARLOTTE, NC - SITE 231",48 FORTY SOLUTIONS - SITE 231,4001 Morris Field Drive,,Charlotte,NC,28208,United States,Enzo Hooper,(704) 391-2227,enzo.hooper@48forty.com; debbie.faulk@48forty.com; darryl.edge@48forty.com; ib@scrapmanagement.com; jessica.bonsall@48forty.com; site231@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"DOUGLAS, GA",RELOGISTICS SERVICES LLC,534 Thompson Dr,,Douglas,GA,31533,,Brandon Griffin,912-384-3487,Brandon.Griffin@relogistics.com; ib@scrapmanagement.com;Brandon.Griffin@relogistics.com; ib@scrapmanagement.com;Brandon.Griffin@relogistics.com; ib@scrapmanagement.com;Brandon.Griffin@relogistics.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"FONTANA, CA  - SITE 522",48 FORTY SOLUTIONS,14966 Whittram Ave,,Fontana,CA,92335,,Eric Melendrez,(909) 850-4660,eric.melendrez@48forty.com; ernesto.perez@48forty.com; cain.sanchez@48forty.com; jessica.bonsall@48forty.com; dario.garcia@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"GLENVILLE, NY - SITE 235",48 FORTY SOLUTIONS - SITE 235,201 A Street,,Glenville,NY,12302,,Joshua Morse,(518) 861-5410,joshua.morse@48forty.com; site235@48forty.com; ib@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"GRAY COURT, SC",48 FORTY SOLUTIONS - IB,2174 Quarry Rd,,Gray Court,SC,29645,United States,Shawn Stinchcomb,(864) 876-2508,shawn.stinchcomb@48forty.com; site233@48forty.com; ib@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"JACKSONVILLE, FL",48 FORTY SOLUTIONS,5402 W 1ST STREET,,Jacksonville,FL,32254,,Wade Watts,,wade.watts@48forty.com; robert.collier@48forty.com; jessica.bonsall@48forty.com; ib@scrapmanagement.com;wade.watts@48forty.com; robert.collier@48forty.com; jz.zafar@48forty.com; ib@scrapmanagement.com;wade.watts@48forty.com; robert.collier@48forty.com; jz.zafar@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"JACKSONVILLE, FL  - SITE 314",48 FORTY SOLUTIONS - IB,1555 Melbourne Ave,,Haines City,FL,33844,,Eddie Dyess,(863) 422-3022,eddie.dyess@48forty.com; site314@48forty.com; soty.gonzalez@48forty.com; brian.groene@48forty.com; ib@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"LAKE CITY, MN",48 FORTY SOLUTIONS,1215 S 10th St,,Lake City,MN,55041,,Matthew,(651)448 6336,matthew.smith@48forty.com; jose.jimenez@48forty.com; ib@scrapmanagement.com; matthew.smith@48forty.com; matthew.smith@48forty.com;jon.heyler@48forty.com; keith.gernentz@48forty.com; ib@scrapmanagement.com;jon.heyler@48forty.com; keith.gernentz@48forty.com; ib@scrapmanagement.com;jon.heyler@48forty.com; keith.gernentz@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"LOCKPORT, IL - SITE 315",48 FORTY SOLUTIONS - Site 315,16508 S John Lane Crossing,Ste. 900,Lockport,IL,60441,United States,Nathaniel Parks,630.755.3319 x 3157,nathaniel.parks@48forty.com; site315@48forty.com; keith.henderson@48forty.com; jessica.bonsall@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,MINNEAPOLIS MN,48 FORTY SOLUTIONS,3200 Como Ave SE,,Minneapolis,MN,55414,,Arturo De Jesus,(612) 409-5743,arturo.dejesus@48forty.com; site263@48forty.com; ib@scrapmanagement.com;arturo.dejesus@48forty.com; site263@48forty.com; ib@scrapmanagement.com;arturo.dejesus@48forty.com; site263@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,MORENO VALLEY CA - ALDI,ALDI INC,12661 Aldi Pl,,Moreno Valley,CA,92555,,Daniela Cruz,281.297.9050,daniela.cruz@48forty.com; jessica.bonsall@48forty.com; customer.care@48forty.com; laura.ferguson@48forty.com; ib@scrapmanagement.com;daniela.cruz@48forty.com; jz.zafar@48forty.com; customer.care@48forty.com; laura.ferguson@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"PORTLAND, OR - SITE 524",48 FORTY SOLUTIONS - Site 524,10400 N Lombard St,,Portland,OR,97203,,Michael Meshell,(503) 285-4142,Michael.Meshell@48forty.com; site524@48forty.com; ib@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"RELOGISTICS - JACKSONVILLE, FL",Relogistics,6611 Pickett Drive,,Jacksonville,FL,32219,,Rueben Lee,912.384.3487,Reuben.Lee@Relogistics.com; Mark.Hughes@relogistics.com; kendal.pike@relogistics.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,RICHMOND IL,48 FORTY SOLUTIONS,11600 Sterling Pkwy,,Richmond,IL,60071,United States,Jessica Bonsall,,jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,RIVERSIDE CA - SITE 520,48 FORTY SOLUTIONS,2641 Hall Ave,,Riverside,CA,92509,,AngelO DiMario,909.660.9343,angelo.dimario@48forty.com; site520@48forty.com; ernesto.perez@48forty.com; jessica.bonsall@48forty.com; ib@scrapmanagement.com;;angelo.dimario@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,SAFEWAY - DENVER CO,SAFEWAY DISTRIBUTION CENTER,4600 Stapleton S Dr,,Denver,CO,80216,,Xenia Bonilla,336.934.6270,xenia.bonilla@48forty.com; jessica.bonsall@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,SAVANNAH GA,48 FORTY SOLUTIONS,110 Gignilliat Cir,,Savannah,GA,31408,,Andy Farris,912.964.9999,andy.farris@48forty.com; jessica.bonsall@48forty.com; ib@scrapmanagement.com;andy.farris@48forty.com; becky.vrba@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,SPROUT - ATLANTA GA,RELOGISTICS,1239 Oakleigh Drive,,Atlanta,GA,30344,,JZ Zafar,,jason.zielinski@48forty.com; xochilt.garcia@48forty.com; brianna.boone@48forty.com; jessica.bonsall@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"SPROUT - FULLERTON, CA",GOODMAN LOGISTICS CENTER,1829 E Orangethorpe Ave,,Fullerton,CA,92831,,JZ Zafar,815-255-8465,kari.schmidt@48forty.com; jessica.bonsall@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"TARGET - RIALTO, CA",TARGET,3105 N Mango Ave,,Rialto,CA,92377,,Target_CSR,(815) 255 8465,customerservice@relogistics.com; rialtot3806@relogistics.com; jessica.bonsall@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"WALTERBORO, SC - SITE 211",48 FORTY SOLUTIONS - SITE 211,"312 Upchurch Ln	",,Walterboro,SC,29488,,Joseph Martines,843.538.3863,jody.mclaine@48forty.com; site211@48forty.com; joseph.martines@48forty.com; lori.jones@48forty.com; jessica.bonsall@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"WESTBOROUGH, MA - SITE 270",48 FORTY SOLUTIONS,57 Brigham St,,Westborough,MA,1581,,Joshua Morse,(518) 861-5410,joshua.morse@48forty.com; site270@48forty.com; ib@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"WILMER, TX",SPROUTS,101 Sunridge Blvd,,Wilmer,TX,75172,,Summer Lozano,,Summer.Lozano@48forty.com; ib@scrapmanagement.com; timm.dawson@48forty.com; customerservice@relogistics.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - IB,Location,FALSE,FALSE,TRUE,"YPSILANTI, MI - EBY BROWN",EBY BROWN,2085 E Michigan Ave,,Ypsilanti,MI,48198,,Odali Guillen,,odali.guillen@48forty.com; sherry.deccliss@48forty.com; sarwat.hanna@48forty.com; jason.zielinski@48forty.com; jessica.bonsall@48forty.com; ib@scrapmanagement.com
48 FORTY SOLUTIONS - LM,Inv/Remit,TRUE,TRUE,FALSE,INVOICE,48 FORTY SOLUTIONS LLC,PO Box 849729,,Dallas,TX,75284-9729,United States,JZ Zafar,(216) 333-9991,jz.zafar@48forty.com
48 FORTY SOLUTIONS - LM,Location,FALSE,FALSE,TRUE,"ADAIRSVILLE, GA",48 FORTY SOLUTIONS,2427 GA-140,,Adairsville,GA,30103,United States,Mikaylia Chastain,770-773-3054,mikaylia.chastain@48forty.com; lm@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - LM,Location,FALSE,FALSE,TRUE,ATLANTA GA - PALLET CONSULTANTS,48 FORTY SOLUTIONS,2555 Moreland Ave. SE,,Atlanta,GA,30315,,Nathan Schuster,(404) 622 4500,jz.zafar@48forty.com; nathan.schuster@48forty.com; site310@48forty.com; lm@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - LM,Location,FALSE,FALSE,TRUE,"ATLANTA, GA",48 FORTY SOLUTIONS,1080 South River Industrial Blvd,,Atlanta,GA,30315,,Steve Brightwell,404 622 6060,steve.brightwell@48forty.com; site230@48forty.com; jz.zafar@48forty.com; lm@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - RP,Inv/Remit,TRUE,TRUE,FALSE,INVOICE,48 FORTY SOLUTIONS LLC,PO Box 849729,,Dallas,TX,75284-9729,United States,Jessica Bonsal,(409) 789-8005,jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - RP,Location,FALSE,FALSE,TRUE,"BIGLERVILLE, PA - SITE 204",48 FORTY SOLUTIONS,3177 Biglerville Rd,,Biglerville,PA,17307,United States,Martin Torres,717.677.9535 X 2042,william.sell@48forty.com; site204@48forty.com; rp@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - RP,Location,FALSE,FALSE,TRUE,FAYETTEVILLE AR - SITE 425,48 FORTY SOLUTIONS,1652 S Fred Hanna Dr,,Fayetteville,AR,72701,,Mike Reed,(631) 883-6869,Site425@48forty.com; mike.reed@48forty.com; rp@scrapmanagement.com; jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - RP,Location,FALSE,FALSE,TRUE,"NORTHAMPTON, PA - SITE 227",48 FORTY SOLUTIONS,800 Held Dr,,Northampton,PA,18067,United States,jason.hartranft,(610) 262-9799,jason.hartranft@48forty.com; site227logistics@48forty.com; tanya.kromer@48forty.com; rp@scrapmanagement.com;jessica.bonsall@48forty.com
