========================================================================================================================
SEMGREP FULL AUDIT RESULTS
========================================================================================================================

Total findings: 188
  ERROR:   44
  WARNING: 144
  INFO:    0

Errors during scan: 4

------------------------------------------------------------------------------------------------------------------------

File                                               Line   Severity   Rule                                     Message
------------------------------------------------------------------------------------------------------------------------------------------------------------
ci/check_automation_field_refs.py                  26     ERROR      python.lang.security.use-defused-xml.us  The Python documentation recommends using `defuse
ci/check_automation_field_refs.py                  262    ERROR      python.lang.security.use-defused-xml-pa  The native Python `xml` library is vulnerable to
ci/check_state_guard_bypass.py                     26     ERROR      python.lang.security.use-defused-xml.us  The Python documentation recommends using `defuse
ci/check_state_guard_bypass.py                     114    ERROR      python.lang.security.use-defused-xml-pa  The native Python `xml` library is vulnerable to
ci/check_xpath_stability.py                        23     ERROR      python.lang.security.use-defused-xml.us  The Python documentation recommends using `defuse
ci/check_xpath_stability.py                        136    ERROR      python.lang.security.use-defused-xml-pa  The native Python `xml` library is vulnerable to
plasticos_automation/models/contract_renewal.py    16     ERROR      semgrep.odoo-raw-sql                     Raw SQL detected - prefer ORM methods to prevent
plasticos_automation/models/contract_renewal.py    66     ERROR      semgrep.odoo-raw-sql                     Raw SQL detected - prefer ORM methods to prevent
plasticos_automation/models/invoice_reminder.py    16     ERROR      semgrep.odoo-raw-sql                     Raw SQL detected - prefer ORM methods to prevent
plasticos_automation/models/invoice_reminder.py    59     ERROR      semgrep.odoo-raw-sql                     Raw SQL detected - prefer ORM methods to prevent
plasticos_automation/models/load_automation.py     32     ERROR      semgrep.odoo-raw-sql                     Raw SQL detected - prefer ORM methods to prevent
plasticos_automation/models/load_automation.py     81     ERROR      semgrep.odoo-raw-sql                     Raw SQL detected - prefer ORM methods to prevent
plasticos_automation/models/purchase_order_automa  19     ERROR      semgrep.odoo-raw-sql                     Raw SQL detected - prefer ORM methods to prevent
plasticos_automation/models/purchase_order_automa  75     ERROR      semgrep.odoo-raw-sql                     Raw SQL detected - prefer ORM methods to prevent
plasticos_automation/models/sale_approval.py       27     ERROR      semgrep.odoo-raw-sql                     Raw SQL detected - prefer ORM methods to prevent
